country_id,country_iso3_code,country_name,country_name_short,in_rankings,former_country
533,ABW,Aruba,Aruba,False,False
4,AFG,Afghanistan,Afghanistan,True,False
24,AGO,Angola,Angola,True,False
660,AIA,Anguilla,Anguilla,False,False
8,ALB,Albania,Albania,True,False
20,AND,Andorra,Andorra,False,False
530,ANT,Netherlands Antilles,Netherlands Antilles,False,True
784,ARE,United Arab Emirates,United Arab Emirates,True,False
32,ARG,Argentina,Argentina,True,False
51,ARM,Armenia,Armenia,True,False
16,ASM,American Samoa,American Samoa,False,False
10,ATA,Antarctica,Antarctica,False,False
260,ATF,French Southern and Antarctic Lands,French Southern and Antarctic Lands,False,False
28,ATG,Antigua and Barbuda,Antigua and Barbuda,False,False
36,AUS,Australia,Australia,True,False
40,AUT,Austria,Austria,True,False
31,AZE,Azerbaijan,Azerbaijan,True,False
108,BDI,Burundi,Burundi,False,False
56,BEL,Belgium,Belgium,True,False
204,BEN,Benin,Benin,True,False
535,BES,Bonaire,Bonaire,False,False
854,BFA,Burkina Faso,Burkina Faso,True,False
50,BGD,Bangladesh,Bangladesh,True,False
100,BGR,Bulgaria,Bulgaria,True,False
48,BHR,Bahrain,Bahrain,True,False
44,BHS,The Bahamas,The Bahamas,False,False
70,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,True,False
652,BLM,Saint Barthélemy,Saint Barthélemy,False,False
112,BLR,Belarus,Belarus,True,False
84,BLZ,Belize,Belize,False,False
60,BMU,Bermuda,Bermuda,False,False
68,BOL,Bolivia,Bolivia,True,False
76,BRA,Brazil,Brazil,True,False
52,BRB,Barbados,Barbados,False,False
96,BRN,Brunei,Brunei,False,False
64,BTN,Bhutan,Bhutan,False,False
74,BVT,Bouvet Island,Bouvet Island,False,False
72,BWA,Botswana,Botswana,True,False
140,CAF,Central African Republic,Central African Republic,False,False
124,CAN,Canada,Canada,True,False
166,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands,False,False
756,CHE,Switzerland,Switzerland,True,False
152,CHL,Chile,Chile,True,False
156,CHN,China,China,True,False
384,CIV,Côte d'Ivoire,Côte d'Ivoire,True,False
120,CMR,Cameroon,Cameroon,True,False
180,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,True,False
178,COG,Republic of the Congo,Republic of the Congo,True,False
184,COK,Cook Islands,Cook Islands,False,False
170,COL,Colombia,Colombia,True,False
