country_iso3_code,partner_iso3_code,year,export_value,import_value
OMN,AFG,1995,108205,0
OMN,AFG,1996,284006,0
OMN,AFG,1997,849159,0
OMN,AFG,1998,328738,0
OMN,AFG,1999,472290,0
OMN,AFG,2000,211443,0
OMN,AFG,2001,1213264,0
OMN,AFG,2002,4726982,0
OMN,AFG,2003,6320496,361786
OMN,AFG,2004,6619799,0
OMN,AFG,2005,3465927,0
OMN,AFG,2006,3000243,0
OMN,AFG,2008,953331,0
OMN,AFG,2009,5077100,0
OMN,AFG,2010,3405524,0
OMN,AFG,2011,622009,0
OMN,AFG,2012,347005,0
OMN,AFG,2013,100280,0
OMN,AFG,2015,148239,0
OMN,AFG,2016,19261,65912
OMN,AFG,2017,605655,0
OMN,AFG,2018,1341788,0
OMN,AFG,2019,718701,0
OMN,AFG,2020,1536612,0
OMN,AFG,2021,0,21395
OMN,AFG,2023,751561,11152
OMN,ALB,1998,95370,0
OMN,ALB,2003,67464,0
OMN,ALB,2004,67464,0
OMN,ALB,2007,26814,0
OMN,ALB,2010,233603,12489
OMN,ALB,2011,515479,0
OMN,ALB,2012,52366,47445
OMN,ALB,2013,510842,20220
OMN,ALB,2014,594503,262856
OMN,ALB,2015,174781,88592
OMN,ALB,2016,14716,92641
OMN,ALB,2017,110954,188467
OMN,ALB,2018,89033,139203
OMN,ALB,2019,8159832,51396
OMN,ALB,2020,2127358,552355
OMN,ALB,2021,4849748,44881
OMN,ALB,2022,17982204,236695
OMN,ALB,2023,42933193,50501
OMN,DZA,1995,52072,110353
OMN,DZA,1996,302688,0
OMN,DZA,1997,421077,39369
OMN,DZA,1998,1172922,0
OMN,DZA,1999,1939797,48088
OMN,DZA,2000,2066161,34017
OMN,DZA,2001,9237295,0
OMN,DZA,2002,967496,0
OMN,DZA,2003,1003964,232861
OMN,DZA,2004,1986252,18687
OMN,DZA,2005,2246084,0
OMN,DZA,2006,2278164,466064
OMN,DZA,2007,3472405,606378
OMN,DZA,2008,5994875,2040188
OMN,DZA,2009,6380654,748587
