year,trade_type,hs_code,hs_name,value_omr,section_code_2,section_name,bec_broad,hs8,hs_code_full,section_name_clean
1998,Export,1012110.0,Purebred Horses Of Arab breed,20300.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1012110,1012110,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1019000.0,Live Mules And Hinnies,7.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1019000,1019000,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1022100.0,PureBred Cattle For Breeding,19350.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1022100,1022100,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1029000.0,Live Bovine Animals Excl Cattle And Buffalo,16970.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1029000,1029000,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1042010.0,Live PureBred Breeding Goats,1220112.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1042010,1042010,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1051100.0,Live Fowls Of The Species Gallus Domesticus Weighing 185 G Excl Turkeys And Guinea Fowls,277280.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1051100,1051100,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1059990.0,Live Ducks Geese Excluding Tame Weighing More Than 185 G,45919.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1059990,1059990,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,1061100.0,Live Primates,4642045.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,1061100,1061100,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,2023090.0,Meat Of Bovine Animals Excluding Minced Meat Boneless Frozen Fit For Human Consumption,433296.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,2023090,2023090,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,2045011.0,Carcasses HalfCarcasses Of Goats Meat Fresh Or Chilled Fit Or Suitable For Human Consumption,2450.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,2045011,2045011,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,2050010.0,Meat Of Horses Fresh Chilled Or Frozen Fit Or Suitable For Human Consumption,500.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,2050010,2050010,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,2071200.0,Frozen Fowls Of The Species Gallus Domesticus Not Cut In Pieces,3230.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,2071200,2071200,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,3021100.0,Fresh Or Chilled Trout Salmo Trutta Oncorhynchus Mykiss Oncorhynchus Clarki Oncorhynchus Aguabonita Oncorhynchus Gilae Oncorhynchus Apache And Oncorhynchus Chrysogaster,1248053.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,3021100,3021100,"LIVE ANIMALS, ANIMAL PRODUCTS"
1998,Export,3033900.0,Frozen Flat Fish Pleuronectidae Bothidae Cynoglossidae Soleidae Scophthalmidae And Citharidae Excl Halibut Plaice Sole And Turbot,16324362.0,1,"LIVE ANIMALS, ANIMAL PRODUCTS",Food & Beverages,3033900,3033900,"LIVE ANIMALS, ANIMAL PRODUCTS"
